Player,Teams,Maps,Rounds,K-D Diff,K/D,Rating3.0
donk,,185,4040,1091,1.41,1.37
ZywOo,,179,3844,1023,1.46,1.34
vsm,,178,3805,704,1.28,1.30
kyousuke,,249,5438,885,1.23,1.26
m0NESY,,182,3955,827,1.35,1.23
Luken,,119,2497,397,1.25,1.22
tN1R,,274,5995,877,1.23,1.22
latto,,229,4819,684,1.24,1.20
tomaszin,,203,4452,387,1.13,1.20
cairne,,264,5748,613,1.16,1.19
Jeorge,,228,4717,482,1.16,1.19
KSCERATO,,179,3841,444,1.19,1.19
MaSvAl,,155,3436,274,1.12,1.19
asap,,114,2382,268,1.17,1.18
blameF,,255,5501,886,1.26,1.18
dea,,148,3124,516,1.27,1.18
empathy,,107,2167,193,1.12,1.18
JamYoung,,155,3374,378,1.18,1.18
MiQ,,106,2219,210,1.14,1.18
z4kr,,175,3695,586,1.27,1.18
frozen,,185,4083,378,1.15,1.17
HeavyGod,,151,3323,342,1.17,1.17
HexT,,257,5188,465,1.14,1.17
junior,,266,5510,1019,1.32,1.17
kashl1d,,121,2707,369,1.23,1.17
molodoy,,212,4553,912,1.34,1.17
sh1ro,,185,4040,980,1.44,1.17
shadiy,,115,2432,313,1.20,1.17
try,,218,4805,952,1.34,1.17
FaNg,,152,3255,350,1.15,1.16
Lake,,203,4239,291,1.10,1.16
MarKE,,158,3372,214,1.10,1.16
Pose1doNN,,102,2204,364,1.27,1.16
slaxz-,,203,4239,755,1.32,1.16
dumau,,229,4819,512,1.17,1.15
Fawx,,108,2215,271,1.18,1.15
gr1ks,,401,8870,1561,1.30,1.15
hardzao,,112,2509,246,1.14,1.15
NIGHT666LADE,,129,2599,142,01.08,1.15
regali,,99,2070,323,1.25,1.15
reiko,,115,2499,218,1.12,1.15
ropz,,197,4238,645,1.25,1.15
ryu,,355,7759,543,1.10,1.15
sk0R,,105,2232,271,1.17,1.15
soulfly,,286,6297,452,1.10,1.15
Wolffe,,204,4462,391,1.13,1.15
Zesta,,101,2148,137,01.09,1.15
ChildKing,,184,3785,331,1.13,1.14
cobrazera,,170,3639,204,01.08,1.14
doc,,243,5156,483,1.14,1.14
jambo,,291,6376,812,1.20,1.14
Jame,,325,7054,1402,1.37,1.14
koala,,243,5156,523,1.17,1.14
makazze,,342,7423,412,01.08,1.14
nardes,,112,2421,258,1.17,1.14
NiKo,,201,4398,346,1.12,1.14
nilo,,111,2405,248,1.16,1.14
piriajr,,181,3789,357,1.15,1.14
r3salt,,237,5076,359,1.11,1.14
sugaR,,226,4999,290,01.09,1.14
XANTARES,,176,3973,357,1.14,1.14
b1t,,164,3555,262,1.11,1.13
cass1n,,164,3579,469,1.22,1.13
Fruitcupx,,245,5174,416,1.12,1.13
hypex,,215,4712,564,1.21,1.13
Jee,,148,3218,525,1.28,1.13
lash,,105,2230,214,1.16,1.13
lauNX,,232,5235,245,01.07,1.13
luchov,,206,4512,119,01.04,1.13
maxxkor,,165,3563,353,1.15,1.13
mizu,,170,3602,172,01.07,1.13
nin9,,170,3639,407,1.18,1.13
npl,,227,4996,322,1.10,1.13
oSee,,182,3705,530,1.24,1.13
Peeping,,214,4424,396,1.13,1.13
phzy,,199,4234,469,1.18,1.13
r1nkle,,224,4886,817,1.28,1.13
Rainwaker,,268,5892,340,01.09,1.13
tex1y,,301,6527,438,1.10,1.13
aNdu,,236,5225,102,01.03,1.12
bnox,,269,5853,299,01.07,1.12
br0,,173,3640,222,01.09,1.12
danistzz,,210,4602,554,1.19,1.12
Dawy,,241,5193,363,1.10,1.12
dem0n,,348,7574,479,1.10,1.12
EliGE,,152,3364,158,01.07,1.12
gbb,,239,5038,228,01.07,1.12
jcobbb,,214,4728,193,01.06,1.12
keen,,115,2432,142,01.08,1.12
kisserek,,193,4264,94,01.03,1.12
Lucky,,396,8627,871,1.16,1.12
MaiL09,,161,3492,263,1.11,1.12
MATYS,,221,4784,182,01.05,1.12
Moseyuh,,152,3300,251,1.12,1.12
nEMANHA,,394,8709,62,01.01,1.12
nqz,,189,4079,530,1.23,1.12
nut nut,,370,8097,307,01.06,1.12
Ph1NNN,,111,2290,131,01.09,1.12
R2B2,,102,2107,78,01.06,1.12
Senzu,,192,4232,373,1.14,1.12
SHiPZ,,191,4221,213,01.07,1.12
spirit,,144,3204,57,01.03,1.12
Terryyy,,100,2056,173,1.12,1.12
Twistzz,,156,3320,141,01.07,1.12
z1Nny,,330,7116,127,01.03,1.12
adamb,,235,5178,276,01.08,1.11
Caleyy,,154,3347,105,01.04,1.11
CLASIA,,189,3976,220,01.09,1.11
d1Ledez,,258,5493,294,01.08,1.11
draken,,256,5632,834,1.24,1.11
faveN,,340,7505,664,1.14,1.11
flameZ,,179,3844,60,01.02,1.11
forsyy,,414,9010,1464,1.28,1.11
jL,,136,2923,166,01.09,1.11
Kvem,,270,5971,394,1.10,1.11
L1haNg,,182,3745,214,01.08,1.11
Magnojez,,228,5098,104,01.03,1.11
Matheos,,138,3050,5,1.00,1.11
rdnzao,,243,5156,232,01.07,1.11
REZ,,166,3639,162,01.07,1.11
saadzin,,229,4819,645,1.24,1.11
sjuush,,250,5454,292,01.08,1.11
tENZY,,138,3057,93,01.04,1.11
tomate,,192,4121,378,1.15,1.11
tripey,,109,2368,54,01.03,1.11
XELLOW,,335,7413,712,1.15,1.11
xiELO,,359,7900,404,01.07,1.11
xKacpersky,,227,4944,116,01.03,1.11
zweih,,251,5518,208,01.06,1.11
afro,,189,4130,440,1.17,1.10
avid,,299,6443,277,01.07,1.10
BELCHONOKK,,320,6936,301,01.06,1.10
consti,,125,2671,367,1.23,1.10
cool4st,,123,2685,227,1.13,1.10
CRUC1AL,,152,3363,408,1.19,1.10
decenty,,205,4518,430,1.15,1.10
detr0ittJ,,115,2577,286,1.18,1.10
Dragon,,283,6245,399,01.09,1.10
ewjerkz,,228,4950,-8,1.00,1.10
executor,,340,7359,222,01.05,1.10
flayy,,172,3847,446,1.19,1.10
hallzerk,,122,2738,276,1.17,1.10
headtr1ck,,227,4996,617,1.21,1.10
insani,,158,3390,57,01.02,1.10
Kaide,,211,4513,243,01.08,1.10
MartinezSa,,159,3414,445,1.22,1.10
mezii,,169,3633,162,01.07,1.10
nicoodoz,,317,6998,785,1.17,1.10
OneUn1que,,241,5198,251,01.07,1.10
oxygeN,,238,5223,29,01.01,1.10
Plopski,,225,4893,182,01.05,1.10
PR,,139,3016,82,01.04,1.10
Re1GN,,118,2551,137,01.08,1.10
shane,,188,3983,93,01.03,1.10
sL1m3,,156,3485,463,1.21,1.10
smooya,,220,4791,713,1.24,1.10
snav,,255,5408,265,01.07,1.10
SunPayus,,147,3244,325,1.17,1.10
w0nderful,,164,3555,368,1.17,1.10
Wicadia,,182,4112,207,01.07,1.10
xerolte,,148,3198,140,01.07,1.10
abizz,,172,3650,51,01.02,01.09
abr,,167,3627,168,01.07,01.09
Alkaren,,240,5248,513,1.16,01.09
amster,,204,4497,95,01.03,01.09
b1elany,,289,6319,150,01.04,01.09
bajmi,,148,3250,94,01.05,01.09
Banjo,,286,6297,132,01.03,01.09
Cjoffo,,395,8751,236,01.04,01.09
coldzera,,214,4667,328,1.12,01.09
DemQQ,,358,7797,400,01.08,01.09
Grim,,127,2843,120,01.06,01.09
HEN1,,135,2854,324,1.20,01.09
JBOEN,,125,2743,240,1.14,01.09
Krimbo,,233,4990,361,1.12,01.09
Kursy,,233,5177,723,1.22,01.09
kye,,217,4605,339,1.12,01.09
lux,,231,4862,301,01.09,01.09
Maka,,214,4814,333,1.11,01.09
NertZ,,172,3795,165,01.06,01.09
pancc,,186,4034,202,01.08,01.09
realz1n,,134,2951,235,1.14,01.09
REDSTAR,,239,5228,445,1.14,01.09
s4ltovsk1yy,,204,4497,597,1.23,01.09
sdy,,261,5638,453,1.12,01.09
Sonic,,172,3605,112,01.05,01.09
Spinx,,185,4093,337,1.13,01.09
Starry,,140,2927,149,01.08,01.09
Swisher,,203,4239,121,01.04,01.09
viz,,108,2335,43,01.03,01.09
yuurih,,179,3841,259,1.11,01.09
zevy,,166,3516,437,1.21,01.09
Anlelele,,367,8038,122,01.02,01.08
ArtFr0st,,140,3063,552,1.32,01.08
bl1x1,,396,8635,6,1.00,01.08
controlez,,174,3742,211,01.08,01.08
cptkurtka023,,206,4515,-122,0.96,01.08
eraa,,347,7432,1074,1.23,01.08
glowiing,,379,8188,159,01.03,01.08
Grizz,,184,4005,110,01.04,01.08
HObbit,,109,2432,95,01.06,01.08
ICY,,148,3247,372,1.20,01.08
iM,,164,3555,110,01.05,01.08
JBa,,172,3605,158,01.07,01.08
JDC,,233,4990,115,01.03,01.08
Jimpphat,,198,4384,200,01.08,01.08
krazy,,151,3319,139,01.06,01.08
m1N1,,120,2646,279,1.17,01.08
malbsMd,,171,3735,40,01.02,01.08
MistR,,124,2784,-55,0.97,01.08
mopoz,,318,7087,-151,0.97,01.08
nacho,,146,3101,76,01.04,01.08
nettik,,105,2284,15,01.01,01.08
nifee,,274,5934,93,01.02,01.08
nitr0,,218,4467,150,01.05,01.08
olimp,,128,2848,-26,0.99,01.08
oz1k,,109,2432,61,01.04,01.08
RUSH,,159,3289,75,01.03,01.08
s0und,,361,7989,21,1.00,01.08
SaVage,,110,2328,84,01.06,01.08
Snakes,,112,2384,25,01.02,01.08
somebody,,146,3005,131,01.06,01.08
spooke,,314,6894,221,01.05,01.08
TeSeS,,210,4650,30,01.01,01.08
venomzera,,226,4883,78,01.02,01.08
Woro2k,,277,6108,675,1.17,01.08
Xant3r,,246,5424,-83,0.98,01.08
xeedo,,123,2750,13,01.01,01.08
xertioN,,198,4384,62,01.02,01.08
yAmi,,163,3524,155,01.06,01.08
Zanto,,151,3354,-14,0.99,01.08
zont1x,,185,4040,142,01.06,01.08
2high,,165,3619,12,01.01,01.07
910,,192,4232,358,1.14,01.07
AccuracyTG,,101,2148,100,01.07,01.07
aliStair,,114,2431,218,1.15,01.07
ammar,,166,3623,122,01.05,01.07
Ax1Le,,179,4037,21,01.01,01.07
Blytz,,276,6015,178,01.04,01.07
clax,,378,8459,301,01.05,01.07
desh,,170,3622,415,1.19,01.07
device,,170,3718,388,1.17,01.07
drac,,232,5186,10,1.00,01.07
F1KU,,214,4720,69,01.02,01.07
FenomeN,,420,9194,945,1.18,01.07
Fessor,,117,2561,25,01.01,01.07
Griller,,131,2899,21,01.01,01.07
h1ghnesS,,121,2614,39,01.02,01.07
hades,,220,4777,464,1.16,01.07
HUASOPEEK,,158,3350,51,01.02,01.07
ivz,,172,3650,167,01.07,01.07
j3kie,,318,7074,102,01.02,01.07
jabbi,,180,3944,118,01.04,01.07
jottAAA,,188,4169,84,01.03,01.07
KaiR0N-,,149,3154,147,01.07,01.07
kAlash,,230,4992,77,01.02,01.07
Krabeni,,355,7723,244,01.05,01.07
ksloks,,180,3870,174,01.07,01.07
leakz,,177,3934,-30,0.99,01.07
Lucky,,214,4814,134,01.04,01.07
mantuu,,333,7391,780,1.18,01.07
Misfit,,163,3513,300,1.15,01.07
myltsi,,233,5019,147,01.04,01.07
Neityu,,266,5760,157,01.04,01.07
nexa,,190,4179,214,01.08,01.07
refrezh,,155,3400,134,01.06,01.07
relaxxie,,123,2750,-37,0.98,01.07
s1n,,203,4239,149,01.06,01.07
Sandman,,177,3764,-8,1.00,01.07
sausol,,348,7665,397,01.08,01.07
SHOCK,,329,7197,118,01.03,01.07
sirah,,294,6427,267,01.06,01.07
timo,,100,2179,-8,0.99,01.07
tom1jed,,165,3563,-48,0.98,01.07
torzsi,,198,4384,613,1.24,01.07
TRAVIS,,267,5812,82,01.02,01.07
Westmelon,,175,3695,-40,0.98,01.07
WolfY,,185,4016,268,1.11,01.07
yuramyata,,191,4164,429,1.17,01.07
zorte,,172,3880,420,1.18,01.07
Zyphon,,381,8217,37,01.01,01.07
0SAMAS,,105,2315,121,01.08,01.06
ANa,,111,2183,176,1.13,01.06
Beccie,,283,6138,-126,0.97,01.06
broky,,163,3610,326,1.15,01.06
chop,,234,5110,116,01.03,01.06
diozera,,121,2529,24,01.01,01.06
Djon8,,191,4164,15,1.00,01.06
dycha,,178,3844,-32,0.99,01.06
dziugss,,358,7799,93,01.02,01.06
EmiliaQAQ,,175,3695,7,1.00,01.06
Ex3rcice,,214,4814,84,01.03,01.06
fineshine52,,315,6981,453,1.10,01.06
Flierax,,242,5217,536,1.18,01.06
freshie,,243,5111,55,01.02,01.06
h1te,,130,2904,348,1.20,01.06
hAdji,,185,4042,117,01.04,01.06
happ,,108,2331,145,1.10,01.06
kensizor,,230,5083,43,01.01,01.06
KIRO,,340,7359,376,01.08,01.06
kL1o,,241,5198,23,01.01,01.06
kmrn,,102,2241,-33,0.98,01.06
kRaSnaL,,120,2620,32,01.02,01.06
kroK,,189,4143,-116,0.96,01.06
lampada,,172,3643,12,01.01,01.06
laxiee,,147,3142,34,01.02,01.06
mello,,176,3845,411,1.17,01.06
mlhzin,,121,2506,48,01.03,01.06
Mokuj1n,,268,5853,70,01.02,01.06
naitte,,223,4835,85,01.03,01.06
nawwk,,185,4047,508,1.22,01.06
NEOFRAG,,150,3185,76,01.03,01.06
nicx,,139,3136,-2,1.00,01.06
nota,,322,7007,167,01.04,01.06
ogwizard,,146,3100,236,1.12,01.06
ponter,,191,4140,82,01.03,01.06
Qlocuu,,133,2914,-10,1.00,01.06
righi,,143,3078,54,01.03,01.06
Sapec,,189,4195,-21,0.99,01.06
Sdaim,,348,7722,-22,1.00,01.06
sliimey,,114,2382,96,01.06,01.06
Smash,,318,7074,-10,1.00,01.06
stavn,,180,3944,118,01.04,01.06
teme,,169,3674,15,01.01,01.06
twist,,299,6443,-19,1.00,01.06
Vexite,,137,2867,-56,0.97,01.06
VLDN,,287,6367,95,01.02,01.06
woxic,,182,4112,440,1.18,01.06
xfl0ud,,156,3385,-52,0.98,01.06
adamS,,168,3756,149,01.06,01.05
alex666,,227,4996,21,01.01,01.05
arT,,217,4605,-103,0.97,01.05
AW,,273,5937,183,01.05,01.05
BledarD,,168,3695,254,1.11,01.05
bluewh1te,,305,6721,-157,0.97,01.05
Buzz,,206,4553,21,01.01,01.05
Calyx,,126,2749,151,01.09,01.05
chayJESUS,,117,2524,38,01.02,01.05
cmtry,,345,7521,367,01.08,01.05
cronuss,,109,2432,-35,0.98,01.05
def1zer,,105,2234,-50,0.97,01.05
destiny,,239,5038,56,01.02,01.05
Dytor,,406,8813,115,01.02,01.05
FL1T,,151,3324,149,01.07,01.05
forkyz,,118,2513,-82,0.95,01.05
fr3nd,,217,4673,430,1.15,01.05
JACKZ,,250,5614,35,01.01,01.05
jchancE,,169,3621,153,01.06,01.05
kaze,,175,3589,158,01.07,01.05
Krad,,143,3107,-108,0.95,01.05
Mercury,,155,3374,92,01.04,01.05
Minus,,133,2865,-99,0.95,01.05
misha,,108,2295,-40,0.98,01.05
misutaaa,,166,3712,-87,0.97,01.05
MITHPUTTINI,,140,3034,273,1.15,01.05
mzinho,,192,4232,-67,0.98,01.05
neaLaN,,101,2152,-36,0.98,01.05
Nodios,,242,5405,20,01.01,01.05
NOPEEJ,,141,3035,11,01.01,01.05
notineki,,409,8960,322,01.06,01.05
Patsi,,369,8215,-190,0.97,01.05
Pepo,,235,5113,309,1.10,01.05
PerX,,117,2591,42,01.03,01.05
poiii,,266,5991,-70,0.98,01.05
pr1metapz,,235,5136,-12,1.00,01.05
rain,,178,3925,-48,0.98,01.05
